BEDSOF0001,Living Room,Bedroom,,,,,,Living Room Furniture,Sofa Bed,Hoxton Manhattan,,85,166,90,H85 W166 D90,Vinyl,Black,Hoxton Sofa Bed,The Hoxton Sofa bed is a three fold action with a 10cm thick mattress | Four additional slats provide support to the polyprop deck at the shoulder and hip area | Slats are mounted by means of 4 springs per slat resulting in a softer suspension | Faux Leather fabric | 80% PVC 20% Cotton  | Removable foam filled seat cushion and rebound fibre filled back cushions |  Fire resistant foam (CMHR) | We recommend to clean this article with a sponge dampened with water | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with BS7177:2008+A1:2011 | Low hazard fire category | BS EN 1129-1:1995 Foldaway beds | Mechanism conforms to BS EN 13759:2012  | Made in the UK,Alan,,,Stock,Bentincks ,Essential, £285.00 ,75, £498.75 ,,Assembled,DFF0152BLSDID,£389.40,1 Year Warranty
BEDSOF0003,Living Room,Bedroom,,,,,,Living Room Furniture,Sofa Bed,Hoxton Manhattan,,85,166,90,H85 W166 D90,Vinyl,Brown,Hoxton Sofa Bed,The Hoxton Sofa bed is a three fold action with a 10cm thick mattress | Four additional slats provide support to the polyprop deck at the shoulder and hip area | Slats are mounted by means of 4 springs per slat resulting in a softer suspension | Faux Leather fabric | 80% PVC 20% Cotton  | Removable foam filled seat cushion and rebound fibre filled back cushions |  Fire resistant foam (CMHR) | We recommend to clean this article with a sponge dampened with water | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with BS7177:2008+A1:2011 | Low hazard fire category | BS EN 1129-1:1995 Foldaway beds | Mechanism conforms to BS EN 13759:2012  | Made in the UK,Alan,,,Stock,Bentincks ,Essential, £285.00 ,75, £498.75 ,,Assembled,DFF0152BRSDID,£389.40,1 Year Warranty
SOFA2M0001,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Fabric,Beige,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch - Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137BGSDID,£201.80,1 Year Warranty
SOFA2M0002,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Vinyl,Black,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-2-Seater-Black,,,Stock,Bentincks ,Essential, £145.00 ,75, £253.75 ,,Assembled,DFF0136BLSDID,£201.80,1 Year Warranty
SOFA2M0003,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Fabric,Brown,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137BRSDID,£201.80,1 Year Warranty
SOFAM0004,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Vinyl,Brown,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Manhattan-Leather-2-Seater-Brown,,,Stock,Bentincks ,Essential, £145.00 ,75, £253.75 ,,Assembled,DFF0136BRSDID,£201.80,1 Year Warranty
SOFAM0005,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Vinyl,Cream,Hoxton Sofa,"The Hoxton is a versatile sofa that would suit most interiors and decor | A compact sofa with low wide feet | Faux Leather fabric | Solid wood frame consisting of base rails, springs and other load bearing rails | Fire resistant foam (CMHR) | Stain resistant vinyl covering | 80% PVC 20% Cotton | Stitched seams | Rub test 80,000 | We recommend to clean this article with a sponge dampened with water and vacuum with a soft brush | Removable foam filled seat cushions and removable rebound fibre filled back cushions | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 Strength, durability and safety of seating | Made in the UK",Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0136CRSDID,£201.80,1 Year Warranty
SOFA2M0006,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Fabric,Aubergine,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,SOFA2M0006,£201.80,1 Year Warranty
SOFA2M0008,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Fabric,Teal,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",no stock - fabric swatch - Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,SOFA2M0008,£201.80,1 Year Warranty
SOFA2M0009,Living Room,,,,,,,Living Room Furniture,Sofas 2 Seater,Hoxton Manhattan,,85,142,90,H85 W142 D90,Fabric,Grey,Hoxton Sofa,"Two seater upholstered sofa | Fixed cover with removable foam filled seat cushions and removable rebound fibre filled back cushions | Fire resistant foam (CMHR) | 100% Polyester | Solid beech wood or hardwood frame consisting of base rails springs and other load bearing rails | Vacuum with a soft brush | Compliant with BS5852 Part 1 Cigarette and Match and BS5852 FR3 CRIB Ignition Source 5 | Complies with EN 12520:2015 for strength, durability and safety of seating",Alan,,,Special,Bentincks ,Essential, £145.00 ,75, £253.75 ,10-15 days,Assembled,DFF0137GRSDID,£201.80,1 Year Warranty
