144.76.38.40,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
157.55.39.46,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
37.9.113.112,Request URL https://tfs.direct,Referer ,
173.212.244.172,Request URL https://tfs.direct,Referer ,
213.205.242.99,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
94.2.211.42,Request URL https://tfs.direct,Referer ,
157.55.39.151,Request URL https://tfs.direct,Referer ,
185.164.59.213,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
195.11.198.1,Request URL https://tfs.direct,Referer ,
195.11.198.1,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
196.196.90.178,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
89.240.136.230,Request URL https://tfs.direct,Referer ,
62.232.218.3,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
92.8.143.65,Request URL https://tfs.direct,Referer ,
92.8.143.65,Request URL https://tfs.direct,Referer ,
95.147.42.14,Request URL https://tfs.direct,Referer ,
92.8.143.65,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
81.154.151.23,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
185.47.106.156,Request URL https://tfs.direct,Referer ,
185.47.106.156,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
185.34.11.202,Request URL https://tfs.direct,Referer ,
185.34.11.202,Request URL https://tfs.direct,Referer ,
185.34.11.202,Request URL https://tfs.direct,Referer ,
185.34.11.202,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
195.11.198.1,Request URL https://tfs.direct,Referer ,
195.11.198.1,Request URL https://tfs.direct,Referer ,
194.81.46.163,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
185.34.10.13,Request URL https://tfs.direct,Referer ,
185.34.10.13,Request URL https://tfs.direct,Referer ,
185.34.10.13,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
193.63.86.128,Request URL https://tfs.direct,Referer ,
