46.229.168.69,Request URL https://tfs.direct,Referer ,
154.16.80.184,Request URL https://tfs.direct,Referer ,
66.249.75.220,Request URL https://tfs.direct,Referer ,
81.104.4.87,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
144.76.165.171,Request URL https://tfs.direct,Referer ,
82.132.214.75,Request URL https://tfs.direct,Referer ,
82.132.214.75,Request URL https://tfs.direct,Referer ,
82.132.214.75,Request URL https://tfs.direct,Referer ,
82.132.214.75,Request URL https://tfs.direct,Referer ,
82.132.214.75,Request URL https://tfs.direct,Referer ,
78.46.176.21,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
196.196.90.76,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
62.232.5.218,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
92.1.194.2,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
78.46.107.80,Request URL https://tfs.direct,Referer ,
