40.77.167.0,Request URL https://tfs.direct,Referer ,
90.220.97.13,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
37.9.113.112,Request URL https://tfs.direct,Referer ,
82.132.219.28,Request URL https://tfs.direct,Referer ,
82.132.219.28,Request URL https://tfs.direct,Referer ,
157.55.39.149,Request URL https://tfs.direct,Referer ,
95.108.181.60,Request URL https://tfs.direct,Referer ,
207.46.13.80,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
207.46.13.77,Request URL https://tfs.direct,Referer ,
5.80.145.154,Request URL https://tfs.direct,Referer ,
207.46.13.77,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.64.216,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
157.55.39.149,Request URL https://tfs.direct,Referer ,
66.249.76.152,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
37.9.113.112,Request URL https://tfs.direct,Referer ,
207.46.13.80,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
82.132.240.107,Request URL https://tfs.direct,Referer ,
82.132.240.107,Request URL https://tfs.direct,Referer ,
82.132.240.107,Request URL https://tfs.direct,Referer ,
82.132.240.107,Request URL https://tfs.direct,Referer ,
82.132.240.107,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
109.156.169.112,Request URL https://tfs.direct,Referer ,
109.156.169.112,Request URL https://tfs.direct,Referer ,
109.156.169.112,Request URL https://tfs.direct,Referer ,
90.216.240.237,Request URL https://tfs.direct,Referer ,
90.216.240.237,Request URL https://tfs.direct,Referer ,
90.216.240.237,Request URL https://tfs.direct,Referer ,
86.150.15.81,Request URL https://tfs.direct,Referer ,
86.150.15.81,Request URL https://tfs.direct,Referer ,
86.150.15.81,Request URL https://tfs.direct,Referer ,
66.249.64.220,Request URL https://tfs.direct,Referer ,
66.249.64.218,Request URL https://tfs.direct,Referer ,
86.185.143.140,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
66.249.76.156,Request URL https://tfs.direct,Referer ,
94.197.120.29,Request URL https://tfs.direct,Referer ,
94.197.120.29,Request URL https://tfs.direct,Referer ,
94.197.120.29,Request URL https://tfs.direct,Referer ,
66.249.76.154,Request URL https://tfs.direct,Referer ,
94.197.120.29,Request URL https://tfs.direct,Referer ,
94.197.120.29,Request URL https://tfs.direct,Referer ,
